"city","state","latitude","longitude"
"Mendota","CA",36.7,-120.43
"Miramonte","CA",36.7,-119.02
"Orange Cove","CA",36.62,-119.31
"Parlier","CA",36.61,-119.53
"Fresno","CA",36.84,-119.8
"Prather","CA",37,-119.51
"Raisin","CA",36.6,-119.9
"Reedley","CA",36.61,-119.44
"Riverdale","CA",36.45,-119.94
"Sanger","CA",36.73,-119.54
"San Joaquin","CA",36.6,-120.15
"Selma","CA",36.57,-119.62
"Shaver Lake","CA",37.1,-119.26
"Tollhouse","CA",36.98,-119.38
"Tranquillity","CA",36.64,-120.29
"Squaw Valley","CA",36.71,-119.18
"Fresno","CA",36.75,-119.79
"Fresno","CA",36.74,-119.76
"Fresno","CA",36.77,-119.77
"Fresno","CA",36.79,-119.8
"Fresno","CA",36.79,-119.83
"Fresno","CA",36.69,-119.83
"Fresno","CA",36.83,-119.76
"Fresno","CA",36.83,-119.83
"Fresno","CA",36.87,-119.76
"Fresno","CA",36.73,-119.78
"Fresno","CA",36.8,-119.89
"Fresno","CA",36.8,-119.89
"Fresno","CA",36.66,-119.74
"Fresno","CA",36.8,-119.76
"Fresno","CA",36.75,-119.7
"Fresno","CA",36.76,-119.81
"Fresno","CA",36.75,-119.64
"Fresno","CA",36.75,-119.64
"Los Angeles","CA",33.97,-118.25
"Los Angeles","CA",33.95,-118.25
"Los Angeles","CA",33.96,-118.28
"Los Angeles","CA",34.08,-118.31
"Los Angeles","CA",34.06,-118.31
"Los Angeles","CA",34.05,-118.29
"Los Angeles","CA",34.03,-118.28
"Los Angeles","CA",34.01,-118.34
"Los Angeles","CA",34.06,-118.31
"Los Angeles","CA",34.01,-118.26
"Los Angeles","CA",34.06,-118.24
"Los Angeles","CA",34.04,-118.24
"Los Angeles","CA",34.04,-118.25
"Los Angeles","CA",34.04,-118.27
"Los Angeles","CA",34.03,-118.35
"Los Angeles","CA",34.05,-118.26
"Los Angeles","CA",34.03,-118.32
"Los Angeles","CA",34.05,-118.34
"Los Angeles","CA",34.07,-118.31
"Los Angeles","CA",34.03,-118.24
"Los Angeles","CA",34.02,-118.16
"Los Angeles","CA",34.02,-118.2
"Los Angeles","CA",34.06,-118.44
"Los Angeles","CA",34.05,-118.45
"Los Angeles","CA",34.08,-118.27
"Los Angeles","CA",34.11,-118.29
"Los Angeles","CA",34.1,-118.33
"Los Angeles","CA",34.09,-118.29
"Los Angeles","CA",34.08,-118.22
"Los Angeles","CA",34.08,-118.18
"Los Angeles","CA",34.05,-118.21
"Los Angeles","CA",34.03,-118.4
"Los Angeles","CA",34.05,-118.39
"Los Angeles","CA",34.07,-118.35
"Los Angeles","CA",34,-118.29
"Los Angeles","CA",34.09,-118.33
"Los Angeles","CA",34.11,-118.26
"Los Angeles","CA",34,-118.15
"Los Angeles","CA",34.14,-118.21
"Los Angeles","CA",34.11,-118.19
"Los Angeles","CA",33.99,-118.33
"Los Angeles","CA",33.95,-118.29
"Los Angeles","CA",33.96,-118.39
"Los Angeles","CA",34.1,-118.36
"Los Angeles","CA",33.96,-118.31
"Los Angeles","CA",34.07,-118.37
"Los Angeles","CA",34.07,-118.48
"Los Angeles","CA",33.99,-118.37
"Los Angeles","CA",34.06,-118.28
"Los Angeles","CA",34,-118.23
"Los Angeles","CA",33.93,-118.25
"Los Angeles","CA",33.92,-118.28
"Los Angeles","CA",34,-118.31
"Los Angeles","CA",34.05,-118.19
"Los Angeles","CA",34.03,-118.43
"Los Angeles","CA",34.11,-118.23
"Los Angeles","CA",34,-118.43
"Los Angeles","CA",34.06,-118.41
"Los Angeles","CA",34.12,-118.34
"West Hollywood","CA",34.09,-118.38
"Los Angeles","CA",34.05,-118.26
"Los Angeles","CA",34.1,-118.45
"Los Angeles","CA",33.79,-118.3
"Los Angeles","CA",33.79,-118.3
"Los Angeles","CA",33.79,-118.3
"Los Angeles","CA",33.79,-118.3
"Bell","CA",33.97,-118.17
"Beverly Hills","CA",34.09,-118.41
"Beverly Hills","CA",34.07,-118.38
"Beverly Hills","CA",34.06,-118.4
"Compton","CA",33.89,-118.24
"Compton","CA",33.89,-118.2
"Compton","CA",33.91,-118.24
"Culver City","CA",34,-118.4
"Culver City","CA",34.02,-118.39
"Downey","CA",33.96,-118.12
"Downey","CA",33.94,-118.13
"Downey","CA",33.92,-118.14
"El Segundo","CA",33.92,-118.41
"Gardena","CA",33.89,-118.3
"Gardena","CA",33.87,-118.29
"Gardena","CA",33.9,-118.32
"Hawthorne","CA",33.91,-118.35
"Hermosa Beach","CA",33.87,-118.4
"Huntington Park","CA",33.98,-118.22
"Lawndale","CA",33.89,-118.35
"Lawndale","CA",33.9,-118.38
"Lynwood","CA",33.92,-118.2
"Malibu","CA",34.04,-118.71
